language;endonym;description;world_region;country;global_speakers;primary_location;add_neighborhoods;latitude;longitude;size;status;glottocode;lg_family;iso_639_3
African-American English;Black English;The history of African-Americans in Staten Island dates back to the early 19th century, when a group of formerly enslaved people established Sandy Ground, a free Black settlement on the south shore of the island. The descendants of this initial group still live in the community today. In recent decades, the Park Hill and Clifton neighborhoods have been a major center for African-American life in the borough — most famously represented by the hip-hop group Wu Tang Clan, which formed in the Stapleton Houses in 1992.;Northern America;United States;45109521;Clifton;;4.062.335.200;-7.408.195.900;Largest;Residential;;Indo-European;eng
African-American English;Black English;African-Americans in the Bronx, perhaps more than anywhere in the city, have developed close and complex ties with Afro-Caribbean communities, Latino communities, and recent African immigrants, producing a pan-African diaspora culture of global importance.;Northern America;United States;45109521;Edenwald;Baychester, Wakefield;4.088.432.200;-7.383.216.600;Largest;Residential;;Indo-European;eng
African-American English;Black English;Historic and long-time African-American communities have existed in the metro area beyond NYC for centuries. Newark, long a majority Black city, is a particularly well-known example. Another, more suburban example is Hempstead on Long Island, an island of Black life despite regional segregation, where one of the region's few African-American Museums is located today.;Northern America;United States;45109521;Hempstead (NY);;4.070.967.407;-7.362.760.223;Large;Residential;;Indo-European;eng
African-American English;Black English;Prominent early rappers from Hollis, including the members of Run-D.M.C., were on the cutting edge of linguistic innovation in the 1980s: they spread new words and phrases from local varieties of African American vernacular to the wider world. For decades, Southeast Queens has been a major magnet for the city's African American middle class.;Northern America;United States;45109521;Hollis;Far Rockaway, Jamaica, St. Albans;4.071.192.700;-7.376.090.600;Largest;Residential;;Indo-European;eng
African-American English;Black English;Historic and long-time African-American communities have existed in the metro area beyond NYC for centuries. Newark, long a majority Black city, is a particularly well-known example. Another, more suburban example is Hempstead on Long Island, an island of Black life despite regional segregation, where one of the region's few African-American Museums is located today.;Northern America;United States;45109521;Newark (NJ);;4.073.732.671;-7.417.030.119;Largest;Residential;;Indo-European;eng
Afrikaans;Afrikaans;Several thousand South African New Yorkers live in neighborhoods across the city — besides South African English, there are at least small numbers of speakers of Afrikaans, Xhosa, Zulu, Northern Sotho (also spoken in Lesotho), Ndebele (also spoken in Zimbabwe), Swati (also spoken in Eswatini), and Tswana (also spoken in Botswana). All are official languages of South Africa today, testifying to an extraordinary multilingualism also embodied by comedian and New York resident Trevor Noah, who reportedly speaks (a distinctly South African-inflected) English, Afrikaans, Southern Sotho, Tsonga, Tswana, Xhosa, and Zulu.;Southern Africa;South Africa, Zimbabwe;17543580;Murray Hill;;4.074.689.000;-7.397.221.300;Small;Community;afri1274;Indo-European;afr
Akan;Akan;"New York is home to a large and growing Ghanaian community centered on ""Little Accra"" in the Bronx stretching from the Grand Concourse up to Tracey Towers, with Ghanaian English and Twi serving as widely-known lingua francas. Ashanti, Akuapem (Twi), and Fante are all considered mutually intelligible varieties of Akan. Ghanaian New Yorkers from Accra, or who spent significant time in Accra, may be Ga speakers, and in the Bronx community there are also speakers of smaller languages such as Dagaare and Dagbani. The first wave of Ghanaians came to the city after the coup in 1966, with some working with the Black Star Line (Ghana Shipping Company) as seamen, and a large number arriving starting in the 1980s. There are now smaller communities in Brooklyn, Queens, Staten Island, New Jersey, and Westchester. Those from northern Ghana may be part of the Yankasa Association, based in the Bronx. Records indicate that many of the enslaved Africans brought to New York in the 17th and 18th centuries may have been speakers of Akan varieties.";Western Africa;Ghana;9231300;Flatbush;;4.064.214.300;-7.395.532.100;Small;Residential;akan1250;Atlantic-Congo;aka
Akan;Akan;"New York is home to a large and growing Ghanaian community centered on ""Little Accra"" in the Bronx stretching from the Grand Concourse up to Tracey Towers, with Ghanaian English and Twi serving as widely-known lingua francas. Ashanti, Akuapem (Twi), and Fante are all considered mutually intelligible varieties of Akan. Ghanaian New Yorkers from Accra, or who spent significant time in Accra, may be Ga speakers, and in the Bronx community there are also speakers of smaller languages such as Dagaare and Dagbani. The first wave of Ghanaians came to the city after the coup in 1966, with some working with the Black Star Line (Ghana Shipping Company) as seamen, and a large number arriving starting in the 1980s. There are now smaller communities in Brooklyn, Queens, Staten Island, New Jersey, and Westchester. Those from northern Ghana may be part of the Yankasa Association, based in the Bronx. Records indicate that many of the enslaved Africans brought to New York in the 17th and 18th centuries may have been speakers of Akan varieties.";Western Africa;Ghana;9231300;Shore Acres;;4.061.630.900;-7.407.177.500;Small;Residential;akan1250;Atlantic-Congo;aka
Akan;Akan;"Lower Manhattan's African Burial Ground —""the oldest and largest known excavated burial ground in North America for both free and enslaved Africans"" — became the last resting place for thousands of African New Yorkers who were not allowed burial anywhere else from the mid-late 17th through the end of the 18th century. Africans of diverse backgrounds were part of the fabric of New Amsterdam (and later New York) from the earliest stages. Many would have been multilingual and maintained some use of their native languages even in the city, though little about this is known in any detail. In the Dutch period, many enslaved Africans brought to New York were Kikongo speakers from the Kingdom of Kongo or Kimbundu-speaking Ndongo. Later came a small population of Malagasy speakers, reflecting a trading relationship between the city and Madagascar in the late 17th century, and a larger community of Akan speakers (often called Coromantees) from what is today Ghana. There were likely native speakers of many other African languages among those interred at the African Burial Ground, whose stories remain to be told.";Western Africa;Ghana;9231300;TriBeCa;;4.071.486.100;-7.400.554.000;Medium;Historical;akan1250;Atlantic-Congo;aka
Akan;Akan;"New York is home to a large and growing Ghanaian community centered on ""Little Accra"" in the Bronx stretching from the Grand Concourse up to Tracey Towers, with Ghanaian English and Twi serving as widely-known lingua francas. Ashanti, Akuapem (Twi), and Fante are all considered mutually intelligible varieties of Akan. Ghanaian New Yorkers from Accra, or who spent significant time in Accra, may be Ga speakers, and in the Bronx community there are also speakers of smaller languages such as Dagaare and Dagbani. The first wave of Ghanaians came to the city after the coup in 1966, with some working with the Black Star Line (Ghana Shipping Company) as seamen, and a large number arriving starting in the 1980s. There are now smaller communities in Brooklyn, Queens, Staten Island, New Jersey, and Westchester. Those from northern Ghana may be part of the Yankasa Association, based in the Bronx. Records indicate that many of the enslaved Africans brought to New York in the 17th and 18th centuries may have been speakers of Akan varieties.";Western Africa;Ghana;9231300;University Heights;Concourse, Mount Hope, Fordham;4.086.027.700;-7.390.642.600;Large;Residential;akan1250;Atlantic-Congo;aka
Aklanon;Akeanon;Some of the earliest Filipino communities in the city formed around port areas and military installations, such as the Brooklyn Navy Yard and later Governors Island. Today, a section of Roosevelt Avenue in Woodside is the major center for Tagalog speakers, and speakers of other languages of the Philippines, both for New York City and for the entire U.S. east of the Mississippi. There are other concentrations in every borough — often formed near hospitals where Filipina women have been employed in healthcare work — and individual speakers throughout the city. Among the largest of the other communities are Cebuano and Ilocano speakers, and a distinctive Philippine English is also spoken by many. According to 2015-2019 American Community Survey data, 7,987 Tagalog speakers also live in Jersey City, a major community.;Southeastern Asia;Philippines;525600;Woodside;;4.074.728.200;-7.390.033.500;Smallest;Residential;akla1241;Austronesian;akl
Algerian Arabic;دزيرية;The Algerian Consulate in New York estimates that 2,000-3,000 Algerians live in Queens. An Algerian-managed Italian café along Steinway, an important Astoria street for North African communities in New York, is a popular gathering spot for Algerian World Cup games. Algerians also live in southern Brooklyn, where L'Algeroise in Bath Beach is a popular pâtisserie.;Northern Africa;Algeria, Egypt;32387600;Astoria;;4.076.773.200;-7.391.114.600;Medium;Residential;alge1239;Afro-Asiatic;arq
Alsatian;Ëlsässisch;Thousands of Alsatians came to New York in the decades following the German takeover of the territory in 1871, including many who spoke the Germanic language variety Alsatian but nonetheless identified as French. A substantial number of Alsatian Jews also settled in New York, joining to varying extents joined with German Jews but also retaining a distinct community with institutions such as the Société israélite française de New York and the Orach Chaim synagogue on the Upper East Side. Today, most of the roughly 200 Alsatian speakers in New York City are over 50 years old, as language use — even in Alsace itself — is declining every year, as with other minority languages of France such as Breton, Basque, and Corsican. Older Alsatians lives mostly in Midtown Manhattan, while younger generations are spread throughout Brooklyn and Queens. Two classic Alsatian restaurants, Café d'Alsace and La Cigogne, can be found on the Upper East Side and in Carroll Gardens, respectively. Founded by refugees in 1871, L'Union Alsacienne of New York, along with partners at The National Arts Club and the French Consulate, have been working to keep Alsatian culture alive in NYC.;Western Europe;France;500000;Roosevelt Island;Midtown;4.075.830.200;-7.395.352.100;Small;Residential;alsa1241;Indo-European;
Amdo Tibetan;ཨ་མདོ་སྐད་;Speakers of Amdo Tibetan hail from the Amdo, one of the three traditional Tibetan provinces, where many communities have long been nomadic pastoralists. As of 2017, one speaker from near Tso Ngonpo (also called Kokonor or Blue Lake) reported that there were at least 7 distinct Amdo communities in the city with their own organizations, for the most part speaking distinct varieties. (ELA recognizes that the Chinese government's rule in Tibet, where this language is spoken, is disputed.);Eastern Asia;China, India;1800000;DUMBO;;4.070.228.112;-7.398.375.193;Small;Community;amdo1237;Sino-Tibetan;adx
Amdo Tibetan;ཨ་མདོ་སྐད་;Dorje Ling temple, led in part by a rinpoche from the Golok region of Amdo, is a religious hub for the Brooklyn Himalayan community. Speakers of Amdo Tibetan, of which there are several distinct varieties represented in the city, hail from the Qinghai region of China, one of the three major Tibetan provinces, where many communities are traditionally nomadic. (ELA recognizes that the Chinese government's rule in Tibet, where this language is spoken, is disputed.);Eastern Asia;China, India;1800000;Jackson Heights;Astoria, Elmhurst, Sunnyside, Woodside;4.074.742.800;-7.389.141.300;Medium;Residential;amdo1237;Sino-Tibetan;adx
American Sign Language;American Sign Language;A significant portion of New York City's estimated Deaf population of over 200,000 use American Sign Language, as well as a number of CODAs (children of Deaf adults). Hundreds of other sign languages, often little documented and highly endangered, exist around the world, and some are likely used in New York, particularly by those who may have attended Deaf school in other countries. While ASL signers live throughout the city, there are key hubs for the language, including the few remaining Deaf Clubs, important social clubs;;;;;;;;;;;;
American Sign Language;American Sign Language;A significant portion of New York City's estimated Deaf population of over 200,000 use American Sign Language, as well as a number of CODAs (children of Deaf adults). Hundreds of other sign languages, often little documented and highly endangered, exist around the world, and some are likely used in New York, particularly by those who may have attended Deaf school in other countries. While ASL signers live throughout the city, there are key hubs for the language, including the few remaining Deaf Clubs, important social clubs;;;;;;;;;;;;
American Sign Language;American Sign Language;A significant portion of New York City's estimated Deaf population of over 200,000 use American Sign Language, as well as a number of CODAs (children of Deaf adults). Hundreds of other sign languages, often little documented and highly endangered, exist around the world, and some are likely used in New York, particularly by those who may have attended Deaf school in other countries. While ASL signers live throughout the city, there are key hubs for the language, including the few remaining Deaf Clubs, important social clubs;;;;;;;;;;;;
American Sign Language;American Sign Language;A significant portion of New York City's estimated Deaf population of over 200,000 use American Sign Language, as well as a number of CODAs (children of Deaf adults). Hundreds of other sign languages, often little documented and highly endangered, exist around the world, and some are likely used in New York, particularly by those who may have attended Deaf school in other countries. While ASL signers live throughout the city, there are key hubs for the language, including the few remaining Deaf Clubs, important social clubs;;;;;;;;;;;;
American Sign Language;American Sign Language;A significant portion of New York City's estimated Deaf population of over 200,000 use American Sign Language, as well as a number of CODAs (children of Deaf adults). Hundreds of other sign languages, often little documented and highly endangered, exist around the world, and some are likely used in New York, particularly by those who may have attended Deaf school in other countries. While ASL signers live throughout the city, there are key hubs for the language, including the few remaining Deaf Clubs, important social clubs;;;;;;;;;;;;
Amharic;ኣማርኛ;While far smaller than Ethiopian communities in other American cities such as Washington D.C, New York's Ethiopian community is scattered around the city and its suburbs, with clusters around Harlem, the Bronx, and the New Jersey suburbs—in each of which there are Ethiopian Orthodox churches that serve as community hubs for many. Amharic, the main national language, serves as a lingua franca for Ethiopian New Yorkers with other mother tongues.;Eastern Africa;Ethiopia;25880630;East Orange (NJ);;4.076.226.800;-7.422.466.200;Small;Residential;amha1245;Afro-Asiatic;amh
Amharic;ኣማርኛ;While far smaller than Ethiopian communities in other American cities such as Washington D.C, New York's Ethiopian community is scattered around the city and its suburbs, with clusters around Harlem, the Bronx, and the New Jersey suburbs—in each of which there are Ethiopian Orthodox churches that serve as community hubs for many. Amharic, the main national language, serves as a lingua franca for Ethiopian New Yorkers with other mother tongues.;Eastern Africa;Ethiopia;25880630;Hamilton Heights;;4.082.629.500;-7.394.342.300;Small;Residential;amha1245;Afro-Asiatic;amh
Amharic;ኣማርኛ;While far smaller than Ethiopian communities in other American cities such as Washington D.C, New York's Ethiopian community is scattered around the city and its suburbs, with clusters around Harlem, the Bronx, and the New Jersey suburbs—in each of which there are Ethiopian Orthodox churches that serve as community hubs for many. Amharic, the main national language, serves as a lingua franca for Ethiopian New Yorkers with other mother tongues.;Eastern Africa;Ethiopia;25880630;Norwood;Parkchester;4.087.651.600;-7.387.458.400;Small;Residential;amha1245;Afro-Asiatic;amh
Amuzgo;N̄omndaa;Amuzgo is spoken in the coastal areas of Guerrero and Oaxaca, two states in southern Mexico known for their cultural and linguistic diversity. Along with other Mexicans of Indigenous descent, Amuzgo speakers have started arriving in New York over the past few decades. ELA worked with one local speaker of Amuzgo, Jesus Santana, to further document aspects of Amuzgo grammar. Read more here.;Central America;Mexico;45900;Corona;;4.074.321.300;-7.385.502.900;Smallest;Residential;guer1243;Otomanguean;amu
Anaang;Anaañ;A substantial community from southeast Nigeria has been established in New York in recent years, including speakers of Efik from in and around Calabar in Cross River State, and speakers of the related Ibibio and Anaang from the state of Akwa Ibom. Many work in healthcare. According to one community member, there may be several thousand community members in the metropolitan area, not only in the Bronx but across Brooklyn, Queens, Westchester, Orange County, and New Jersey.;Western Africa;Nigeria;2550000;Norwood;Highbridge;4.088.031.900;-7.388.150.000;Small;Residential;anaa1238;Atlantic-Congo;anw
Ancient Greek;Αρχαία Ελληνική;The Paideia Institute, based in New York City, is an organization devoted to spoken Latin and Ancient Greek, producing diverse materials and hosting large events (including the annual Living Latin) not only about but actually in those languages.;Southern Europe;Greece;;SoHo;;4.072.359.000;-7.400.638.800;Smallest;Reviving;anci1242;Indo-European;grc
Antigua and Barbuda Creole;Creole;Founded in 1934 by 22 Antiguan New Yorkers, the Antigua and Barbuda Progressive Society has been headquarted in its Central Harlem brownstone since 1964 as a central address for those from Antigua and Barbuda living in or passing through New York.;Caribbean;Antigua and Barbuda;150000;Central Harlem;;4.080.838.503;-7.394.520.618;Small;Community;anti1245;Indo-European;aig
Appolo;Nzema;The only speakers of Appolo and Adjoukrou in New York known to ELA, both from Ivory Coast, are married to each other. In the city there are also likely to be speakers of Appolo (Nzema) from Ghana, where the majority live.;Western Africa;Ghana, Ivory Coast;412000;Concourse;;4.082.293.800;-7.392.466.100;Smallest;Residential;nzim1238;Atlantic-Congo;nzi
Apulo-Lucano;Materano;"While many of the first Italian New Yorkers were speakers of Ligurian, Piedmontese, Lombard, and Tuscan varieties, the overwhelming majority have been southerners who spoke forms of Sicilian, Neapolitan, Calabrese, and Pugliese. Given that less than 10 percent of the population spoke the national language (Italian) at the time of unification in the 19th century, most Italian New Yorkers were speakers of these (often not mutually intelligible) ""dialects"" who only learned Italian later, if at all. Diversity and clustering were the norm in all the major early Italian neighborhoods, with a Neapolitan-based koine reported as a common language among southern Italian immigrants. Little Italy and Greenwich Village were the crucible, but patterns were highly specific — for example Sicilians, especially from Sambucca, on Elizabeth Street, Neapolitans and Calabrians on Mulberry";;;;;;;;;;;;
Arbëresh;Arbëresh;Arriving within the large Southern Italian immigrant wave beginning in the late 19th century, Arbëresh speakers (from places such as San Cosmo Albanese, Frascineto, and Acquaformosa in Calabria and Greci in Campania) came to live within broader Italian neighborhoods, beginning in Little Italy and later in the Bronx, Staten Island, and likely elsewhere. From 1904 to 1946, the Arbëreshë priest Papas Ciro Pinnola created a parish within the Archdiocese of New York, unique in North America, dedicated to the distinctive to the (Greek-language) Byzantine Catholic rite of the Italo-Albanian Church. In recent years, the rite has been revived at Our Lady of Grace church on Staten Island.;Southern Europe;Italy;380000;Great Kills;;4.055.387.800;-7.413.748.900;Small;Residential;arbe1236;Indo-European;aae
Arbëresh;Arbëresh;Arriving within the large Southern Italian immigrant wave beginning in the late 19th century, Arbëresh speakers (from places such as San Cosmo Albanese, Frascineto, and Acquaformosa in Calabria and Greci in Campania) came to live within broader Italian neighborhoods, beginning in Little Italy and later in the Bronx, Staten Island, and likely elsewhere. From 1904 to 1946, the Arbëreshë priest Papas Ciro Pinnola created a parish within the Archdiocese of New York, unique in North America, dedicated to the distinctive to the (Greek-language) Byzantine Catholic rite of the Italo-Albanian Church. In recent years, the rite has been revived at Our Lady of Grace church on Staten Island.;Southern Europe;Italy;380000;Lower East Side;;4.072.292.322;-7.399.188.292;Small;Historical;arbe1236;Indo-European;aae
Argentine Spanish;Español Rioplatense;New York City is home to a tremendous diversity of Spanish varieties, largely mutually intelligible but highly distinctive along regional, ethnic, and local lines — for this map, as among speakers themselves, national distinctions (e.g. Peruvian Spanish, Colombian Spanish) are used even though these do not completely capture the nature of the diversity. Many early Spanish-speaking New Yorkers were Galicians or Castilians living in Manhattan's Little Spain in today's Chelsea or Brooklyn Heights, connected to the port or cigar-making;;;;;;;;;;;;
Aromanian;Vlach;Aromanians, sometimes also known as Vlachs (or historically as Macedo-Romanians), are speakers of Eastern Romance language varieties living across the Balkan peninsula from Romania to Greece. They idenify variously, including some as descending from ancient Macedonians or Romans, and others as part of different national groups. By 1918, in the wake of the Ottoman Empire's collapse, Aromanians had became a marginalized minority within Greece, Bulgaria, Albania, and what became Yugoslavia. Significant numbers of Aromanians reached the U.S. between 1900 and 1920, with many settling in Manhattan and others in the Bronx (around 175th and Washington), and there was even a short-lived Aromanian newspaper in New York called Curierul Roman. Today, Society Farsarotul in Connecticut serves as one community institution. According to one community member, most Aromanians in the city now live dispersed among New York’s Albanian, Greek, and Romanian communities in western Queens.;Southern Europe;Romania, Greece, Albania;181120;Ridgewood;Astoria, Jackson Heights, Sunnyside;4.070.370.922;-7.390.339.600;Small;Residential;arom1237;Indo-European;rup
Aromanian;Vlach;Aromanians, sometimes also known as Vlachs (or historically as Macedo-Romanians), are speakers of Eastern Romance language varieties living across the Balkan peninsula from Romania to Greece. They idenify variously, including some as descending from ancient Macedonians or Romans, and others as part of different national groups. By 1918, in the wake of the Ottoman Empire's collapse, Aromanians had became a marginalized minority within Greece, Bulgaria, Albania, and what became Yugoslavia. Significant numbers of Aromanians reached the U.S. between 1900 and 1920, with many settling in Manhattan and others in the Bronx (around 175th and Washington), and there was even a short-lived Aromanian newspaper in New York called Curierul Roman. Today, Society Farsarotul in Connecticut serves as one community institution. According to one community member, most Aromanians in the city now live dispersed among New York’s Albanian, Greek, and Romanian communities in western Queens.;Southern Europe;Romania, Greece, Albania;181120;Trumbull (CT);;4.123.495.000;-7.321.967.000;Medium;Residential;arom1237;Indo-European;rup
Ashanti;Ashanti;"New York is home to a large and growing Ghanaian community centered on ""Little Accra"" in the Bronx stretching from the Grand Concourse up to Tracey Towers, with Ghanaian English and Twi serving as widely-known lingua francas. Ashanti, Akuapem (Twi), and Fante are all considered mutually intelligible varieties of Akan. Ghanaian New Yorkers from Accra, or who spent significant time in Accra, may be Ga speakers, and in the Bronx community there are also speakers of smaller languages such as Dagaare and Dagbani. The first wave of Ghanaians came to the city after the coup in 1966, with some working with the Black Star Line (Ghana Shipping Company) as seamen, and a large number arriving starting in the 1980s. There are now smaller communities in Brooklyn, Queens, Staten Island, New Jersey, and Westchester. Those from northern Ghana may be part of the Yankasa Association, based in the Bronx. Records indicate that many of the enslaved Africans brought to New York in the 17th and 18th centuries may have been speakers of Akan varieties.";Western Africa;Ghana;3800000;Clifton;;4.061.509.200;-7.408.724.400;Small;Residential;asan1239;Atlantic-Congo;
Ashanti;Ashanti;"New York is home to a large and growing Ghanaian community centered on ""Little Accra"" in the Bronx stretching from the Grand Concourse up to Tracey Towers, with Ghanaian English and Twi serving as widely-known lingua francas. Ashanti, Akuapem (Twi), and Fante are all considered mutually intelligible varieties of Akan. Ghanaian New Yorkers from Accra, or who spent significant time in Accra, may be Ga speakers, and in the Bronx community there are also speakers of smaller languages such as Dagaare and Dagbani. The first wave of Ghanaians came to the city after the coup in 1966, with some working with the Black Star Line (Ghana Shipping Company) as seamen, and a large number arriving starting in the 1980s. There are now smaller communities in Brooklyn, Queens, Staten Island, New Jersey, and Westchester. Those from northern Ghana may be part of the Yankasa Association, based in the Bronx. Records indicate that many of the enslaved Africans brought to New York in the 17th and 18th centuries may have been speakers of Akan varieties.";Western Africa;Ghana;3800000;Flatbush;;4.064.205.200;-7.396.300.900;Small;Residential;asan1239;Atlantic-Congo;
Ashanti;Ashanti;"New York is home to a large and growing Ghanaian community centered on ""Little Accra"" in the Bronx stretching from the Grand Concourse up to Tracey Towers, with Ghanaian English and Twi serving as widely-known lingua francas. Ashanti, Akuapem (Twi), and Fante are all considered mutually intelligible varieties of Akan. Ghanaian New Yorkers from Accra, or who spent significant time in Accra, may be Ga speakers, and in the Bronx community there are also speakers of smaller languages such as Dagaare and Dagbani. The first wave of Ghanaians came to the city after the coup in 1966, with some working with the Black Star Line (Ghana Shipping Company) as seamen, and a large number arriving starting in the 1980s. There are now smaller communities in Brooklyn, Queens, Staten Island, New Jersey, and Westchester. Those from northern Ghana may be part of the Yankasa Association, based in the Bronx. Records indicate that many of the enslaved Africans brought to New York in the 17th and 18th centuries may have been speakers of Akan varieties.";Western Africa;Ghana;3800000;University Heights;Concourse, Mount Hope, Fordham;4.085.534.100;-7.391.355.300;Medium;Residential;asan1239;Atlantic-Congo;
Assamese;অসমীয়া;The Assam Society of America was organized in the 1960s when early immigrants arrived in New York and New Jersey;;;;;;;;;;;;
Assyrian Neo-Aramaic;ܣܘܪܝܬ;Assyrian Neo-Aramaic is the language spoken by those claiming Assyrian ancestry in the historical region based between what is now Iraq, Iran, Syria, and Turkey. Fleeing genocide in Ottoman Turkey and Persia, Assyrians began to arrive in New York as early as the late 19th century. Guided by American Presbyterian missionaries, these refugees ultimately settled in Yonkers and have worked to maintain their language and culture through organizations such as the Assyrian Community Center.;Western Asia;Iraq, Syria;587320;Yonkers (NY);;4.092.361.500;-7.389.972.700;Small;Residential;assy1241;Afro-Asiatic;aii
